,Arrival Time (hr),Pressurization Time (hr),Satisfaction Time (hr)
1,0.397222222,0.441666667,6.786111111
2,0.158333333,0.416666667,6.413888889
3,0.163888889,0.4,6.047222222
5,0.177777778,0.347222222,5.205555556
9,0.061111111,0.108333333,3.958333333
10,0.05,0.091666667,4.116666667
11,0.086111111,0.097222222,4.183333333
13,0.15,0.166666667,6.113888889
15,0.019444444,0.044444444,4.85
17,0.058333333,0.088888889,5.377777778
18,0.041666667,0.05,4.897222222
20,0.022222222,0.025,4.844444444
21,0.005555556,0.005555556,5.25
22,0.019444444,0.022222222,4.627777778
25,0.022222222,0.027777778,8.552777778
26,0.030555556,7.513888889,
27,0.038888889,0.236111111,7.363888889
28,0.055555556,0.230555556,6.525
30,0.063888889,0.216666667,5.994444444
31,0.077777778,0.208333333,5.577777778
32,0.080555556,0.2,5.277777778
33,0.091666667,0.194444444,5.113888889
34,0.038888889,7.472222222,
35,0.05,7.322222222,
36,0.063888889,7.275,11.41666667
37,0.102777778,6.433333333,11.275
38,0.086111111,7.741666667,
39,7.325,9.841666667,
40,7.716666667,11.49166667,
41,0.072222222,0.65,9.597222222
42,0.088888889,0.641666667,9.308333333
43,0.116666667,0.494444444,7.491666667
44,0.122222222,0.480555556,7.266666667
45,0.125,0.480555556,7.280555556
49,0.433333333,0.530555556,7.594444444
50,0.45,0.561111111,7.663888889
52,0.486111111,0.533333333,7.291666667
54,0.547222222,0.594444444,8.261111111
