,Arrival Time (hr),Pressurization Time (hr),Satisfaction Time (hr)
1,0.058333333,0.216666667,8.219444444
2,0.125,0.377777778,9.033333333
3,0.263888889,0.480555556,9.683333333
4,0.158333333,0.447222222,9.316666667
5,0.277777778,0.513888889,9.533333333
6,0.277777778,0.580555556,10.09166667
7,0.266666667,0.580555556,10.06944444
8,0.186111111,0.541666667,9.530555556
9,0.191666667,0.480555556,9.369444444
10,0.108333333,0.358333333,8.708333333
11,0.05,0.066666667,7.033333333
12,0.116666667,0.286111111,8.277777778
13,0.172222222,0.344444444,8.669444444
14,0.147222222,0.286111111,8.244444444
15,0.183333333,0.355555556,9.161111111
16,0.063888889,0.255555556,8.319444444
17,0.075,0.275,8.422222222
18,0.019444444,0.030555556,6.705555556
20,0.013888889,0.027777778,6.958333333
21,0.036111111,0.05,7.338888889
22,0.072222222,0.136111111,8.277777778
23,0.122222222,0.394444444,9.005555556
24,0.425,0.675,10.41666667
25,0.530555556,0.702777778,10.53611111
26,0.380555556,0.7,10.43611111
27,0.391666667,0.7,10.40833333
28,0.5,0.652777778,10.65833333
29,0.388888889,0.658333333,10.61666667
30,0.358333333,0.633333333,10.49722222
31,0.333333333,0.625,10.42777778
32,0.388888889,0.608333333,10.35
33,0.191666667,0.497222222,9.202777778
34,0.122222222,0.236111111,8.411111111
35,0.105555556,0.197222222,8.172222222
36,0.6,0.716666667,10.71666667
37,0.572222222,0.725,10.81388889
38,0.388888889,0.705555556,10.44444444
39,0.311111111,0.711111111,10.49722222
40,0.180555556,0.386111111,9.302777778
41,0.075,0.2,8.197222222
42,0.177777778,0.213888889,8.519444444
43,0.122222222,0.211111111,8.372222222
44,0.083333333,0.180555556,8.077777778
45,0.069444444,0.152777778,7.944444444
46,0.044444444,0.116666667,7.655555556
47,0.088888889,0.175,8.047222222
48,0.086111111,0.166666667,8.005555556
49,0.036111111,0.047222222,6.811111111
50,0.013888889,0.025,6.894444444
51,0.002777778,0.002777778,6.105555556
52,0.002777778,0.002777778,6.055555556
53,0.313888889,0.594444444,10.10277778
54,0.213888889,0.530555556,9.722222222
55,0.3,0.586111111,10.1
56,0.4,0.658333333,10.54722222
57,0.436111111,0.65,10.475
58,0.463888889,0.675,10.54166667
59,0.4,0.702777778,10.675
60,0.475,0.691666667,10.41388889
61,0.519444444,0.686111111,10.325
62,0.402777778,0.686111111,10.275
63,0.283333333,0.586111111,9.702777778
64,0.391666667,0.655555556,10.09722222
65,0.411111111,0.663888889,10.04444444
66,0.472222222,0.672222222,10.21666667
67,0.5,0.686111111,10.35555556
68,0.477777778,0.691666667,10.40833333
69,0.441666667,0.675,10.36111111
70,0.397222222,0.675,10.40833333
71,0.375,0.663888889,10.34166667
72,0.352777778,0.638888889,10.24722222
73,0.341666667,0.633333333,10.24444444
74,0.3,0.547222222,9.883333333
76,0.222222222,0.475,9.508333333
77,0.138888889,0.372222222,8.997222222
78,0.55,0.705555556,10.56666667
79,0.441666667,0.702777778,10.44166667
80,0.652777778,0.713888889,10.78055556
81,0.666666667,0.716666667,10.78611111
82,0.566666667,0.713888889,10.71666667
83,0.561111111,0.702777778,10.55555556
84,0.536111111,0.708333333,10.66111111
85,0.447222222,0.702777778,10.51111111
86,0.347222222,0.622222222,10.03333333
87,0.419444444,0.694444444,10.35555556
88,0.286111111,0.583333333,9.916666667
89,0.161111111,0.394444444,9.111111111
90,0.141666667,0.341666667,8.908333333
91,0.091666667,0.180555556,8.2
92,0.222222222,0.572222222,9.863888889
93,0.297222222,0.588888889,10.03055556
94,0.275,0.694444444,10.41666667
95,0.211111111,0.555555556,9.636111111
96,0.202777778,0.536111111,9.55
97,0.141666667,0.280555556,8.766666667
98,0.108333333,0.194444444,8.336111111
99,0.375,0.663888889,10.21666667
100,0.275,0.55,9.861111111
101,0.216666667,0.444444444,9.416666667
102,0.147222222,0.291666667,8.75
103,0.2,0.294444444,8.852777778
104,0.230555556,0.288888889,8.85
105,0.163888889,0.275,8.755555556
106,0.111111111,0.233333333,8.433333333
107,0.052777778,0.119444444,7.588888889
108,0.038888889,0.083333333,7.391666667
109,0.025,0.044444444,7.002777778
110,0.030555556,0.075,7.388888889
111,0.066666667,0.147222222,8.036111111
112,0.141666667,0.394444444,9.258333333
113,0.188888889,0.452777778,9.661111111
114,0.308333333,0.536111111,9.891666667
115,0.141666667,0.294444444,9.088888889
117,0.158333333,0.211111111,8.530555556
120,0.052777778,0.205555556,8.458333333
121,0.230555556,0.594444444,9.369444444
122,0.147222222,0.405555556,9.205555556
123,0.236111111,0.658333333,9.966666667
125,0.5,0.686111111,10.48611111
126,0.380555556,0.633333333,10.35833333
127,0.438888889,0.675,10.53888889
128,0.519444444,0.691666667,10.69166667
129,0.397222222,0.694444444,10.6
130,0.233333333,0.677777778,10.40833333
131,0.138888889,0.358333333,9.511111111
132,0.311111111,0.575,10.04166667
133,0.263888889,0.538888889,9.858333333
134,0.163888889,0.397222222,8.966666667
135,0.066666667,0.097222222,7.208333333
136,0.002777778,0.008333333,6.416666667
137,0.041666667,0.075,6.944444444
138,0.111111111,0.255555556,8.680555556
139,0.2,0.411111111,9.280555556
143,0.125,0.375,8.886111111
144,0.108333333,0.327777778,8.616666667
145,0.133333333,0.386111111,8.925
146,0.294444444,0.580555556,9.677777778
147,0.272222222,0.555555556,9.527777778
148,0.283333333,0.586111111,9.7
149,0.377777778,0.594444444,9.655555556
150,0.402777778,0.6,9.680555556
151,0.580555556,0.7,10.53611111
152,0.622222222,0.702777778,10.55555556
153,0.569444444,0.702777778,10.58333333
154,0.563888889,0.702777778,10.52777778
155,0.341666667,0.694444444,10.18888889
156,0.336111111,0.694444444,10.17777778
157,0.125,0.238888889,8.591666667
158,0.036111111,0.044444444,6.9
159,0.008333333,0.022222222,6.530555556
160,0.022222222,0.044444444,6.727777778
161,0.094444444,0.125,7.647222222
162,0.147222222,0.297222222,8.680555556
163,0.111111111,0.166666667,7.994444444
164,0.2,0.45,9.363888889
165,0.216666667,0.488888889,9.563888889
166,0.327777778,0.691666667,10.55555556
167,0.311111111,0.691666667,10.54444444
168,0.269444444,0.686111111,10.48055556
169,0.347222222,0.622222222,10.375
170,0.316666667,0.647222222,10.16388889
171,0.341666667,0.666666667,10.25277778
172,0.344444444,0.686111111,10.27222222
173,0.358333333,0.688888889,10.3
175,0.263888889,0.663888889,10.05833333
178,0.375,0.655555556,9.733333333
182,0.105555556,0.2,8.3
183,0.052777778,0.080555556,7.416666667
184,0.052777778,0.072222222,7.366666667
185,0.019444444,0.033333333,6.616666667
186,0.002777778,0.002777778,6.186111111
187,0.108333333,0.177777778,8.083333333
188,0.005555556,0.005555556,6.319444444
189,0.133333333,0.252777778,8.558333333
190,0.177777778,0.283333333,8.8
191,0.213888889,0.352777778,9.138888889
192,0.225,0.366666667,9.177777778
193,0.638888889,0.713888889,10.69444444
194,0.441666667,0.708333333,10.57777778
195,0.202777778,0.558333333,9.355555556
196,0.436111111,0.694444444,10.34722222
197,0.286111111,0.558333333,9.977777778
198,0.25,0.511111111,9.625
199,0.258333333,0.525,9.697222222
200,0.288888889,0.561111111,9.963888889
201,0.297222222,0.563888889,9.925
202,0.386111111,0.666666667,10.60277778
203,0.466666667,0.675,10.63055556
204,0.325,0.580555556,10.07222222
205,0.413888889,0.7,10.66388889
206,0.347222222,0.552777778,9.75
207,0.094444444,0.244444444,8.736111111
208,0.091666667,0.208333333,8.691666667
209,0.002777778,0.002777778,6.241666667
210,0.005555556,0.008333333,6.569444444
212,0.038888889,0.058333333,6.930555556
213,0.255555556,0.286111111,8.355555556
214,0.113888889,0.311111111,8.747222222
216,0.172222222,0.419444444,9.247222222
217,0.272222222,0.508333333,9.663888889
218,0.422222222,0.686111111,10.28333333
219,0.177777778,0.355555556,9.044444444
220,0.072222222,0.155555556,8.144444444
221,0.211111111,0.433333333,9.372222222
222,0.086111111,0.108333333,7.386111111
223,0.352777778,0.669444444,10.14166667
224,0.394444444,0.675,10.23611111
227,0.552777778,0.672222222,10.10555556
228,0.269444444,0.65,9.527777778
229,0.252777778,0.647222222,9.488888889
230,0.363888889,0.563888889,9.913888889
231,0.338888889,0.591666667,10.14444444
232,0.486111111,0.7,10.53611111
233,0.338888889,0.583333333,9.972222222
234,0.063888889,0.122222222,7.722222222
235,0.111111111,0.213888889,8.641666667
236,0.083333333,0.177777778,8.452777778
237,0.125,0.175,8.155555556
238,0.372222222,0.6,10.09722222
239,0.213888889,0.466666667,9.413888889
240,0.094444444,0.136111111,7.680555556
241,0.263888889,0.683333333,10.47222222
242,0.227777778,0.677777778,10.39444444
243,0.483333333,0.686111111,10.625
244,0.466666667,0.680555556,10.59444444
246,0.527777778,0.683333333,10.42222222
247,0.083333333,0.186111111,8.013888889
249,0.391666667,0.658333333,10.62777778
250,0.313888889,0.594444444,10.24722222
251,0.391666667,0.633333333,10.37777778
252,0.369444444,0.508333333,9.725
253,0.002777778,0.002777778,6.305555556
255,0.425,0.655555556,10.23611111
256,0.025,0.047222222,7.627777778
257,0.25,0.525,9.486111111
259,0.080555556,0.272222222,8.383333333
260,0.083333333,0.280555556,8.411111111
261,0.127777778,0.355555556,8.891666667
262,0.147222222,0.383333333,9.058333333
263,0.180555556,0.433333333,9.294444444
264,0.016666667,0.033333333,7.013888889
265,0.336111111,0.616666667,10.38333333
266,0.611111111,0.716666667,10.78888889
267,0.508333333,0.705555556,10.57777778
268,0.344444444,0.569444444,10.01111111
