,Arrival Time (hr),Pressurization Time (hr),Satisfaction Time (hr)
StorageforNode47,0.08888888888888889,0.3416666666666667,3.911111111111111
StorageforNode48,0.08611111111111111,0.2972222222222222,3.841666666666667
StorageforNode49,0.03611111111111111,0.05,2.6805555555555554
StorageforNode50,0.013888888888888888,0.030555555555555555,2.841666666666667
StorageforNode51,0.002777777777777778,0.002777777777777778,2.05
StorageforNode52,0.002777777777777778,0.002777777777777778,2.0194444444444444
StorageforNode53,0.32222222222222224,,
StorageforNode54,0.2388888888888889,,
StorageforNode55,0.3416666666666667,,
StorageforNode56,0.48055555555555557,,
StorageforNode57,0.4527777777777778,,
StorageforNode58,0.49722222222222223,,
StorageforNode59,0.6277777777777778,,
StorageforNode60,0.5138888888888888,,
StorageforNode61,0.7027777777777777,,
StorageforNode62,0.4861111111111111,,
StorageforNode63,0.28888888888888886,,
StorageforNode64,0.41944444444444445,,
StorageforNode65,0.44722222222222224,,
StorageforNode66,0.5416666666666666,,
StorageforNode67,0.5972222222222222,,
StorageforNode68,0.5638888888888889,,
StorageforNode69,0.5111111111111111,,
StorageforNode70,0.45,,
StorageforNode71,0.41944444444444445,,
StorageforNode72,0.3888888888888889,,
StorageforNode73,0.37222222222222223,,
StorageforNode74,0.3194444444444444,,
StorageforNode76,0.22777777777777777,,
StorageforNode77,0.1388888888888889,,
StorageforNode78,0.6888888888888889,,
StorageforNode79,0.6361111111111111,,
StorageforNode80,0.9416666666666667,,
StorageforNode81,1.0555555555555556,,
StorageforNode82,0.8861111111111111,,
StorageforNode83,0.85,,
StorageforNode84,0.8527777777777777,,
StorageforNode85,0.5944444444444444,,
StorageforNode86,0.39166666666666666,,
StorageforNode87,0.5333333333333333,,
StorageforNode88,0.3111111111111111,,
StorageforNode89,0.16666666666666666,,
StorageforNode90,0.14444444444444443,,
StorageforNode91,0.09444444444444444,0.2638888888888889,3.783333333333333
StorageforNode92,0.2361111111111111,,
StorageforNode93,0.33611111111111114,,
StorageforNode94,0.3527777777777778,,
StorageforNode95,0.25277777777777777,,
StorageforNode96,0.24166666666666667,,
StorageforNode97,0.15833333333333333,,
StorageforNode98,0.11666666666666667,2.827777777777778,
StorageforNode99,0.4722222222222222,,
StorageforNode100,0.31666666666666665,,
StorageforNode101,0.23333333333333334,,
StorageforNode102,0.1527777777777778,,
StorageforNode103,0.2111111111111111,,
StorageforNode104,0.2722222222222222,,
StorageforNode105,0.17777777777777778,,
StorageforNode106,0.11388888888888889,2.6944444444444446,
StorageforNode107,0.05277777777777778,0.14166666666666666,3.275
StorageforNode108,0.03888888888888889,0.08888888888888889,3.0166666666666666
StorageforNode109,0.025,0.044444444444444446,2.658333333333333
StorageforNode110,0.030555555555555555,0.07777777777777778,2.9944444444444445
StorageforNode111,0.06666666666666667,0.26666666666666666,3.8944444444444444
StorageforNode112,0.14444444444444443,,
StorageforNode113,0.2,,
StorageforNode114,0.425,,
StorageforNode115,0.15555555555555556,,
StorageforNode117,0.18888888888888888,,
StorageforNode120,0.05555555555555555,,
StorageforNode121,0.3,,
StorageforNode122,0.1527777777777778,,
StorageforNode123,0.2777777777777778,,
StorageforNode125,0.7388888888888889,,
StorageforNode126,0.44722222222222224,,
StorageforNode127,0.5722222222222222,,
StorageforNode128,0.7361111111111112,,
StorageforNode129,0.5888888888888889,,
StorageforNode130,0.2833333333333333,,
StorageforNode131,0.14722222222222223,,
StorageforNode132,0.3861111111111111,,
StorageforNode133,0.3055555555555556,,
StorageforNode134,0.175,,
StorageforNode135,0.06666666666666667,0.10555555555555556,2.933333333333333
StorageforNode136,0.002777777777777778,0.008333333333333333,2.286111111111111
